risk_number,risk_name,round,criteria,actor_sector_category,actor_sector_name,vuln_resp_level,count,total,pct
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Deployer,Highly responsible,44,85,51.8
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Deployer,Minimally responsible,1,85,1.2
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Deployer,Moderately responsible,14,85,16.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Deployer,Primarily responsible,26,85,30.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Developer (General-purpose AI),Highly responsible,30,85,35.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Developer (General-purpose AI),Minimally responsible,3,85,3.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Developer (General-purpose AI),Moderately responsible,13,85,15.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Developer (General-purpose AI),Primarily responsible,39,85,45.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Developer (Specialised AI),Highly responsible,32,62,51.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Developer (Specialised AI),Minimally responsible,4,62,6.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Developer (Specialised AI),Moderately responsible,8,62,12.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Developer (Specialised AI),Primarily responsible,18,62,29.0
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Governance Actor,Highly responsible,46,85,54.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Governance Actor,Minimally responsible,2,85,2.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Governance Actor,Moderately responsible,11,85,12.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Governance Actor,Primarily responsible,26,85,30.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Infrastructure Provider,Highly responsible,11,62,17.7
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Infrastructure Provider,Minimally responsible,20,62,32.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Infrastructure Provider,Moderately responsible,12,62,19.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Infrastructure Provider,Not at all responsible,14,62,22.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI Infrastructure Provider,Primarily responsible,5,62,8.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI User,Highly responsible,5,84,6.0
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI User,Minimally responsible,31,84,36.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI User,Moderately responsible,36,84,42.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI User,Not at all responsible,8,84,9.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,AI User,Primarily responsible,4,84,4.8
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,Affected Stakeholder,Highly responsible,7,62,11.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,Affected Stakeholder,Minimally responsible,21,62,33.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,Affected Stakeholder,Moderately responsible,10,62,16.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,Affected Stakeholder,Not at all responsible,23,62,37.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Responsibility,Actor,Affected Stakeholder,Primarily responsible,1,62,1.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Deployer,Extremely vulnerable,7,85,8.2
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Deployer,Highly vulnerable,24,85,28.2
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Deployer,Minimally vulnerable,23,85,27.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Deployer,Moderately vulnerable,26,85,30.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Deployer,Not at all vulnerable,5,85,5.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Developer (General-purpose AI),Extremely vulnerable,8,85,9.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Developer (General-purpose AI),Highly vulnerable,13,85,15.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Developer (General-purpose AI),Minimally vulnerable,27,85,31.8
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Developer (General-purpose AI),Moderately vulnerable,25,85,29.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Developer (General-purpose AI),Not at all vulnerable,12,85,14.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Developer (Specialised AI),Extremely vulnerable,5,68,7.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Developer (Specialised AI),Highly vulnerable,14,68,20.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Developer (Specialised AI),Minimally vulnerable,22,68,32.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Developer (Specialised AI),Moderately vulnerable,21,68,30.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Developer (Specialised AI),Not at all vulnerable,6,68,8.8
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Governance Actor,Extremely vulnerable,7,85,8.2
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Governance Actor,Highly vulnerable,15,85,17.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Governance Actor,Minimally vulnerable,23,85,27.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Governance Actor,Moderately vulnerable,32,85,37.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Governance Actor,Not at all vulnerable,8,85,9.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Infrastructure Provider,Extremely vulnerable,3,67,4.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Infrastructure Provider,Highly vulnerable,2,67,3.0
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Infrastructure Provider,Minimally vulnerable,27,67,40.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Infrastructure Provider,Moderately vulnerable,10,67,14.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI Infrastructure Provider,Not at all vulnerable,25,67,37.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI User,Extremely vulnerable,47,85,55.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI User,Highly vulnerable,30,85,35.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI User,Minimally vulnerable,1,85,1.2
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI User,Moderately vulnerable,6,85,7.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,AI User,Not at all vulnerable,1,85,1.2
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,Affected Stakeholder,Extremely vulnerable,40,69,58.0
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,Affected Stakeholder,Highly vulnerable,14,69,20.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,Affected Stakeholder,Minimally vulnerable,4,69,5.8
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Actor,Affected Stakeholder,Moderately vulnerable,11,69,15.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Accommodation,Extremely vulnerable,9,79,11.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Accommodation,Highly vulnerable,26,79,32.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Accommodation,Minimally vulnerable,23,79,29.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Accommodation,Moderately vulnerable,19,79,24.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Accommodation,Not at all vulnerable,2,79,2.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Agriculture,Extremely vulnerable,9,78,11.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Agriculture,Highly vulnerable,9,78,11.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Agriculture,Minimally vulnerable,32,78,41.0
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Agriculture,Moderately vulnerable,26,78,33.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Agriculture,Not at all vulnerable,2,78,2.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Arts,Extremely vulnerable,14,79,17.7
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Arts,Highly vulnerable,30,79,38.0
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Arts,Minimally vulnerable,17,79,21.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Arts,Moderately vulnerable,18,79,22.8
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Education,Extremely vulnerable,36,78,46.2
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Education,Highly vulnerable,28,78,35.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Education,Minimally vulnerable,2,78,2.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Education,Moderately vulnerable,11,78,14.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Education,Not at all vulnerable,1,78,1.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Finance,Extremely vulnerable,49,81,60.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Finance,Highly vulnerable,22,81,27.2
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Finance,Minimally vulnerable,5,81,6.2
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Finance,Moderately vulnerable,5,81,6.2
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Healthcare,Extremely vulnerable,54,79,68.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Healthcare,Highly vulnerable,19,79,24.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Healthcare,Minimally vulnerable,2,79,2.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Healthcare,Moderately vulnerable,4,79,5.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Information,Extremely vulnerable,35,79,44.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Information,Highly vulnerable,33,79,41.8
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Information,Minimally vulnerable,4,79,5.1
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Information,Moderately vulnerable,7,79,8.9
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Management,Extremely vulnerable,12,78,15.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Management,Highly vulnerable,34,78,43.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Management,Minimally vulnerable,5,78,6.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Management,Moderately vulnerable,27,78,34.6
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,National Security,Extremely vulnerable,28,79,35.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,National Security,Highly vulnerable,24,79,30.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,National Security,Minimally vulnerable,9,79,11.4
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,National Security,Moderately vulnerable,17,79,21.5
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,National Security,Not at all vulnerable,1,79,1.3
1.1,1.1 Unfair discrimination and misrepresentation,1,Vulnerability,Sector,Professional,Extremely vulnerable,17,79,21.5
